"","plantID","Plot","yearT","sizeT","pflowerT","fertilityT","survival","sizeT1"
"290","T1.SJ3","T1",2006,8.74047322666191,0,NA,1,9.31118286884672
"291","T1.SJ4","T1",2006,9.7490750693685,0,NA,1,10.1474103800164
"292","T1.SJ5","T1",2006,6.76377113205051,0,NA,1,8.02408569030984
"293","T1.SJ7","T1",2006,8.47949430250442,0,NA,1,9.3406267681811
"294","T1.SJ9","T1",2006,3.73499705129523,0,NA,1,5.39767947824814
"295","T2.AD1","T2",2006,12.0043296644464,1,17,1,12.1460168967966
"296","T2.AD11","T2",2006,10.9567598278967,1,4,1,10.8719090164049
"297","T2.AD12","T2",2006,12.6898804981144,1,10,1,12.7953555678497
"298","T2.AD14","T2",2006,12.1796356787788,1,5,1,12.0038891269835
"299","T2.AD15","T2",2006,12.0632782667341,1,3,1,11.9028596911469
"300","T2.AD16","T2",2006,11.4013836296783,1,3,1,11.3213948246344
"301","T2.AD17","T2",2006,10.8978111285362,1,3,1,10.9778217977636
"302","T2.AD18","T2",2006,12.4049381534037,1,15,1,12.3847138229762
"303","T2.AD19","T2",2006,11.0040696068957,1,1,1,11.385106254892
"304","T2.AD22","T2",2006,11.1227536670386,1,5,1,10.9542913003534
"305","T2.AD23","T2",2006,12.8487007234033,1,16,1,12.7925707852163
"306","T2.AD24","T2",2006,12.3053020076787,0,NA,1,12.5593725070246
"307","T2.AD28","T2",2006,11.3381041101714,1,2,1,11.4628404842785
"308","T2.AD29","T2",2006,11.602562216065,1,4,1,11.6999456580818
"309","T2.AD3","T2",2006,10.6945558069998,0,NA,1,10.9007223387436
"310","T2.AD30","T2",2006,11.4907809503803,1,5,1,11.3657548407121
"311","T2.AD4","T2",2006,12.7418126588264,1,17,1,13.0196282358517
"312","T2.AD6","T2",2006,11.0933302143229,1,5,1,11.1448610091319
"313","T2.AD7","T2",2006,12.394033712856,1,8,1,12.5172827532826
"314","T2.AD9","T2",2006,11.122235302313,1,8,1,11.141343416375
"315","T2.LJ10","T2",2006,9.32683488241659,0,NA,1,9.81063039742683
"316","T2.LJ11","T2",2006,9.0047381015543,0,NA,1,9.19349154496101
"317","T2.LJ12","T2",2006,10.1395589649206,0,NA,1,10.1171276342796
"318","T2.LJ14","T2",2006,10.1628246198339,0,NA,1,9.96847290388135
"319","T2.LJ17","T2",2006,10.8001406205261,0,NA,1,10.6987707716789
"320","T2.LJ2","T2",2006,10.1238892844643,0,NA,1,10.2996896744728
"321","T2.LJ5","T2",2006,10.3636334884861,1,16,1,11.0915642428889
"322","T2.LJ6","T2",2006,10.9830487187146,1,1,1,11.0233226178525
"323","T2.LJ7","T2",2006,12.1021936829838,1,9,1,12.1583025506915
"324","T2.LJ9","T2",2006,10.0458694196875,1,1,1,9.55656256160781
"325","T2.SJ1","T2",2006,6.41933072578012,0,NA,1,5.9730436231517
"326","T2.SJ10","T2",2006,5.44201529206819,0,NA,1,6.09879482845726
"327","T2.SJ12","T2",2006,7.63801084537828,0,NA,1,8.04778664404998
"328","T2.SJ13","T2",2006,7.50430375452178,0,NA,1,7.1494396597074
"329","T2.SJ14","T2",2006,6.72986958037483,0,NA,1,7.63127169975523
"330","T2.SJ16","T2",2006,8.47033163982811,0,NA,1,8.30764404557776
"331","T2.SJ17","T2",2006,6.35830602394235,0,NA,1,6.92521616691362
"332","T2.SJ2","T2",2006,6.42050337129587,0,NA,1,7.2554578537842
"333","T2.SJ9","T2",2006,7.98268839887943,0,NA,1,7.39959982193329
"334","T3.AD1","T3",2006,11.1873777505422,1,3,1,11.025673557284
"335","T3.AD10","T3",2006,12.3746324077486,1,15,1,11.950084649594
"336","T3.AD12","T3",2006,12.0165074653701,1,6,1,12.2883678688301
"337","T3.AD13","T3",2006,11.3424467806132,1,11,1,11.3359182606615
"338","T3.AD15","T3",2006,11.2060443881583,0,NA,1,11.3829381419679
"339","T3.AD17","T3",2006,11.892926235754,1,17,1,11.7284693309597
"340","T3.AD18","T3",2006,12.2779018481474,1,5,1,12.3186998668236
"341","T3.AD19","T3",2006,11.0538463579176,1,8,1,11.0890434328978
"342","T3.AD20","T3",2006,10.9222762150277,1,6,1,11.0160116463722
"343","T3.AD21","T3",2006,11.2546064123759,0,NA,1,11.118963217077
"344","T3.AD22","T3",2006,10.2378058376649,1,1,1,10.3701558952436
"345","T3.AD24","T3",2006,12.1899277960168,1,17,1,12.1812697332737
"346","T3.AD25","T3",2006,11.0439374589934,1,2,1,11.451249032343
"347","T3.AD28","T3",2006,11.1481570373889,1,5,1,10.9871927365478
"348","T3.AD3","T3",2006,12.4109832552183,1,61,1,12.1915849761765
"349","T3.AD30","T3",2006,10.7148229606018,1,1,1,11.0180706820829
"350","T3.AD5","T3",2006,12.3475004225158,1,6,1,12.052811282045
"351","T3.AD6","T3",2006,11.1381067015354,1,16,1,11.3156968035198
"352","T3.AD7","T3",2006,12.1322711382211,1,8,1,11.9891894006715
